Run,Timing,QBO,ENSO,SAT_MAX,DIFF_1,SAT_SUMMER_MAX,DIFF_2,SUMMER NH 1258,TREE RING,DIFF_3,SAT_MAX_1258
u-bv020,July,-11.5746,0.1535,-1.397770139,-0.176814458,-1.2071281,-0.050987252,-0.946712893,-0.7414997,-0.205213193,
u-bw758,July,-3.08967,-0.80225,-1.289575182,-0.068619501,-0.767816718,0.388324131,-0.64439259,,0.09710711,
u-bw761,July,-24.1604,-0.87343,-1.214080328,0.006875354,-1.114930256,0.041210592,-1.114930256,,-0.373430556,
u-bw762,July,-24.0001,-0.63371,-1.285386385,-0.064430703,-1.716403982,-0.560263133,-1.716403982,,-0.974904282,
u-bw763,July,9.22678,0.22238,-1.307437988,-0.086482306,-1.291980131,-0.135839283,-1.291980131,,-0.550480431,
u-bw764,July,-11.6539,1.0544,-1.175623795,0.045331886,-0.870899279,0.28524157,-0.870899279,,-0.129399579,
u-bw765,July,-26.2999,-0.33015,-1.311041667,-0.090085986,-0.851026863,0.305113985,-0.851026863,,-0.109527163,
u-bw766,July,2.52324,-1.41956,-1.277625468,-0.056669787,-0.841531642,0.314609207,-0.696737701,,0.044761999,
u-bw767,July,2.4634,-0.193,-1.404462323,-0.183506641,-1.743550665,-0.587409816,-1.743550665,,-1.002050965,
u-ca322,January,-21.5427,1.63546,-1.568533314,-0.106374979,-2.072966072,-0.180941826,-1.018186492,,-0.276686792,
u-ca323,January,-23.1154,-0.7989,-1.616545475,-0.15438714,-2.455148243,-0.563123997,-1.161558703,,-0.420059003,
u-ca324,January,-15.3357,-1.26341,-1.818759983,-0.356601647,-1.937898833,-0.045874587,-1.254325368,,-0.512825668,
u-ca325,January,-14.1998,1.28341,-1.274144409,0.188013926,-1.566179614,0.325844632,-1.370832849,,-0.629333149,
u-ca326,January,2.53639,-1.36307,-1.491102608,-0.028944272,-1.840059639,0.051964607,-0.8867068,,-0.1452071,
u-ca327,January,2.9927,0.171,-1.469868316,-0.007709981,-2.372228774,-0.480204528,-1.046491572,,-0.304991872,
u-ca328,January,-17.6649,-1.53791,-1.184293205,0.27786513,-0.936778056,0.955246191,-0.630073112,,0.111426588,
u-ca330,January,11.2981,0.40232,-1.601291099,-0.139132764,-1.42073954,0.471284706,-1.33288984,,-0.59139014,
u-ca331,January,7.11765,1.77627,-1.500482996,-0.03832466,-2.426219445,-0.534195199,-1.417100303,,-0.675600603,
