Age,Carbon
1357.68,-7.49
1357.01,-7.75
1356.33,-7.77
1355.65,-7.74
1354.97,-7.89
1354.28,-7.88
1353.6,-7.9
1352.91,-7.82
1352.22,-7.88
1351.53,-7.76
1350.83,-7.68
1350.13,-7.65
1349.44,-7.62
1348.74,-7.74
1348.03,-7.66
1347.33,-7.67
1346.62,-7.64
1345.92,-7.69
1345.21,-7.81
1344.5,-7.81
1343.78,-7.83
1343.07,-7.94
1341.64,-7.23
1340.92,-8.32
1340.2,-8.48
1339.47,-8.31
1338.75,-8.44
1338.03,-8.67
1337.3,-8.96
1336.57,-9.14
1335.85,-8.97
1335.12,-8.84
1334.38,-9.03
1333.65,-9.48
1332.92,-9.5
1332.18,-9.25
1331.45,-9.18
1330.71,-9.28
1329.97,-9.24
1329.23,-9.22
1328.5,-9.31
1327.75,-9.24
1327.01,-9.5
1326.27,-9.63
1325.53,-9.73
1324.78,-9.85
1324.04,-9.86
1323.29,-9.83
1322.55,-9.93
1321.8,-9.86
1321.05,-9.96
1320.3,-9.96
1319.55,-10.08
1318.8,-10.04
1318.05,-10.18
1317.3,-10.02
1316.55,-9.94
1315.8,-10.08
1315.05,-9.86
1314.3,-10
1313.55,-9.62
1312.79,-9.48
1312.04,-9.2
1311.29,-8.96
1310.53,-8.95
1309.78,-8.85
1309.03,-8.9
1308.27,-9.15
1307.52,-9.9
1306.76,-10.01
1306.01,-10.05
1305.26,-9.66
1304.5,-9.91
1303.75,-9.78
1303,-9.99
1302.24,-10.11
1301.49,-10.2
1300.74,-9.84
1299.98,-9.66
1299.23,-9.57
1298.48,-10.03
1297.73,-9.66
1296.98,-8.92
1296.23,-9.08
1295.47,-8.71
1294.71,-8.9
1293.93,-8.91
1293.15,-9.51
1292.36,-8.77
1291.55,-8.72
1290.75,-8.84
1289.93,-8.62
1289.1,-9.12
1288.27,-8.93
1287.43,-8.72
1286.58,-8.64
1285.72,-8.57
1284.85,-8.53
1283.98,-8.79
1283.1,-8.51
1282.22,-9.18
1281.32,-8.87
1280.42,-8.88
1279.52,-8.67
1278.61,-8.62
1277.69,-8.34
1276.76,-8.34
1275.83,-8.55
1274.9,-8.51
1273.96,-8.4
1273.01,-8.27
1272.06,-8.56
1271.1,-8.57
1270.14,-8.86
1269.18,-8.78
1268.21,-9.06
1267.23,-9.35
1266.26,-9.15
1265.27,-8.95
1264.29,-8.66
1263.3,-8.47
1262.3,-8.54
1261.31,-9.04
1260.31,-9.14
1259.31,-9.34
1258.3,-9.46
1257.29,-9.48
1256.28,-9.31
1255.27,-8.99
1254.26,-8.51
1253.24,-8.54
1252.22,-8.41
1251.2,-7.92
1250.18,-8.11
1249.16,-8.54
1248.14,-9.02
1247.11,-9.32
1246.09,-9.47
1245.06,-9.53
1244.03,-9.77
1243.01,-9.63
1241.98,-9.46
1240.95,-9.13
1239.93,-9.42
1238.9,-9.48
1237.88,-9.43
1236.85,-9.12
1235.83,-8.99
1234.8,-9.09
1233.78,-9.32
1232.76,-9.44
1231.74,-9.76
1230.73,-9.7
1229.71,-9.52
1228.7,-9.39
1227.69,-9.04
1226.68,-9.02
1225.67,-9.01
1224.67,-9.05
1223.67,-9.18
1222.67,-9.01
1221.68,-8.76
1220.69,-8.35
1219.7,-8.08
1218.72,-7.98
1217.74,-8.1
1216.76,-8.27
1215.79,-8.15
1214.82,-8.19
1213.86,-8.01
1212.9,-7.97
1211,-8.27
1210.06,-8.37
1209.12,-8.32
1208.19,-8.22
1207.27,-8.18
1206.34,-8.41
1205.43,-8.04
1204.52,-8.3
1203.62,-8.14
1202.73,-7.99
1201.84,-7.98
1200.96,-7.86
1200.08,-8.04
1199.21,-8.39
1198.35,-8.11
1197.5,-8.2
1196.66,-7.9
1195.82,-8.15
1194.99,-7.6
1194.17,-7.61
1193.36,-7.81
1192.55,-7.92
1191.76,-8.13
1190.97,-7.92
1190.2,-7.87
1189.43,-7.99
1188.67,-7.94
1187.92,-8.17
1187.18,-8.29
1186.45,-8.6
1185.73,-8.44
1185.02,-8.5
1184.32,-8.42
1183.63,-8.73
1182.96,-8.66
1182.29,-8.79
1181.63,-8.49
1180.98,-8.34
1180.32,-8.16
1179.68,-7.94
1179.04,-8.32
1178.4,-8.15
1177.77,-8.33
1177.14,-8.15
1176.51,-8.05
1175.89,-7.83
1175.28,-7.93
1174.67,-7.95
1174.06,-8.01
1173.45,-8.31
1172.85,-8.29
1172.26,-8.23
1171.66,-8.07
1171.08,-8.07
1170.49,-8.07
1169.91,-8.47
1169.33,-8.28
1168.76,-8.48
1168.19,-9.19
1167.62,-9.14
1167.06,-9.64
1166.5,-9.66
1165.94,-9.27
1165.39,-9.46
1164.84,-9.32
1164.29,-8.79
1163.75,-8.9
1163.21,-9.02
1162.67,-8.57
1162.14,-8.47
1161.61,-8.46
1161.08,-8.34
1160.56,-8.39
1160.04,-8.47
1159.52,-8.54
1159,-8.48
1158.49,-8.27
1157.98,-8.24
1157.47,-7.97
